date,from_currency,to_currency,exchange
26/01/2015,CAD,GBP,0.53462
26/01/2015,CAD,USD,0.80263
26/01/2015,EUR,AUD,1.4227
26/01/2015,EUR,CAD,1.4009
26/01/2015,EUR,EUR,1
26/01/2015,EUR,GBP,0.74895
26/01/2015,EUR,USD,1.1244
26/01/2015,GBP,AUD,1.89959
26/01/2015,GBP,CAD,1.87049
26/01/2015,GBP,EUR,1.3352
26/01/2015,GBP,GBP,1
26/01/2015,GBP,USD,1.5013
26/01/2015,USD,AUD,1.2653
26/01/2015,USD,CAD,1.24591
26/01/2015,USD,EUR,0.88936
26/01/2015,USD,GBP,0.66609
26/01/2015,USD,USD,1
27/01/2015,AUD,AUD,1
27/01/2015,AUD,CAD,0.9896
27/01/2015,AUD,EUR,0.70259
27/01/2015,AUD,GBP,0.52501
27/01/2015,AUD,USD,0.79435
27/01/2015,CAD,AUD,1.01051
27/01/2015,CAD,CAD,1
27/01/2015,CAD,EUR,0.70998
27/01/2015,CAD,GBP,0.53053
27/01/2015,CAD,USD,0.8027
27/01/2015,EUR,AUD,1.4233
27/01/2015,EUR,CAD,1.4085
27/01/2015,EUR,EUR,1
27/01/2015,EUR,GBP,0.74725
27/01/2015,EUR,USD,1.1306
27/01/2015,GBP,AUD,1.90472
27/01/2015,GBP,CAD,1.88491
27/01/2015,GBP,EUR,1.33824
27/01/2015,GBP,GBP,1
27/01/2015,GBP,USD,1.51301
27/01/2015,USD,AUD,1.25889
27/01/2015,USD,CAD,1.2458
27/01/2015,USD,EUR,0.88449
27/01/2015,USD,GBP,0.66093
27/01/2015,USD,USD,1
28/01/2015,AUD,AUD,1
28/01/2015,AUD,CAD,0.98988
28/01/2015,AUD,EUR,0.70254
28/01/2015,AUD,GBP,0.52452
28/01/2015,AUD,USD,0.79697
28/01/2015,CAD,AUD,1.01022
28/01/2015,CAD,CAD,1
28/01/2015,CAD,EUR,0.70972
28/01/2015,CAD,GBP,0.52988
28/01/2015,CAD,USD,0.80511
28/01/2015,EUR,AUD,1.4234
28/01/2015,EUR,CAD,1.409
28/01/2015,EUR,EUR,1
28/01/2015,EUR,GBP,0.7466
28/01/2015,EUR,USD,1.1344
28/01/2015,GBP,AUD,1.90651
28/01/2015,GBP,CAD,1.88722
28/01/2015,GBP,EUR,1.33941
28/01/2015,GBP,GBP,1
28/01/2015,GBP,USD,1.51942
28/01/2015,USD,AUD,1.25476
28/01/2015,USD,CAD,1.24207
28/01/2015,USD,EUR,0.88152
28/01/2015,USD,GBP,0.65815
28/01/2015,USD,USD,1
29/01/2015,AUD,AUD,1
29/01/2015,AUD,CAD,0.97551
29/01/2015,AUD,EUR,0.68799
29/01/2015,AUD,GBP,0.51445
29/01/2015,AUD,USD,0.77847
29/01/2015,CAD,AUD,1.02511
29/01/2015,CAD,CAD,1
29/01/2015,CAD,EUR,0.70527
29/01/2015,CAD,GBP,0.52736
29/01/2015,CAD,USD,0.79801
29/01/2015,EUR,AUD,1.4535
29/01/2015,EUR,CAD,1.4179
29/01/2015,EUR,EUR,1
29/01/2015,EUR,GBP,0.74775
29/01/2015,EUR,USD,1.1315
29/01/2015,GBP,AUD,1.94383
29/01/2015,GBP,CAD,1.89622
29/01/2015,GBP,EUR,1.33735
29/01/2015,GBP,GBP,1
29/01/2015,GBP,USD,1.51321
29/01/2015,USD,AUD,1.28458
29/01/2015,USD,CAD,1.25312
29/01/2015,USD,EUR,0.88378
29/01/2015,USD,GBP,0.66085
29/01/2015,USD,USD,1
30/01/2015,AUD,AUD,1
30/01/2015,AUD,CAD,0.98541
30/01/2015,AUD,EUR,0.68799
30/01/2015,AUD,GBP,0.51675
30/01/2015,AUD,USD,0.77778
30/01/2015,CAD,AUD,1.0148
30/01/2015,CAD,CAD,1
